code	ISO-8859-01	ISO-8859-02	ISO-8859-03	ISO-8859-04	ISO-8859-05	ISO-8859-06	ISO-8859-07	ISO-8859-08	ISO-8859-09	ISO-8859-10	ISO-8859-11	ISO-8859-13	ISO-8859-14	ISO-8859-15	ISO-8859-16
0xD4	0xC3 0x94	0xC3 0x94	0xC3 0x94	0xC3 0x94	0xD0 0xB4	0xD8 0xB4	0xCE 0xA4		0xC3 0x94	0xC3 0x94	0xE0 0xB8 0xB4	0xC5 0x8C	0xC3 0x94	0xC3 0x94	0xC3 0x94
0xD5	0xC3 0x95	0xC5 0x90	0xC4 0xA0	0xC3 0x95	0xD0 0xB5	0xD8 0xB5	0xCE 0xA5		0xC3 0x95	0xC3 0x95	0xE0 0xB8 0xB5	0xC3 0x95	0xC3 0x95	0xC3 0x95	0xC5 0x90
0xD6	0xC3 0x96	0xC3 0x96	0xC3 0x96	0xC3 0x96	0xD0 0xB6	0xD8 0xB6	0xCE 0xA6		0xC3 0x96	0xC3 0x96	0xE0 0xB8 0xB6	0xC3 0x96	0xC3 0x96	0xC3 0x96	0xC3 0x96
0xD7	0xC3 0x97	0xC3 0x97	0xC3 0x97	0xC3 0x97	0xD0 0xB7	0xD8 0xB7	0xCE 0xA7		0xC3 0x97	0xC5 0xA8	0xE0 0xB8 0xB7	0xC3 0x97	0xE1 0xB9 0xAA	0xC3 0x97	0xC5 0x9A
0xD8	0xC3 0x98	0xC5 0x98	0xC4 0x9C	0xC3 0x98	0xD0 0xB8	0xD8 0xB8	0xCE 0xA8		0xC3 0x98	0xC3 0x98	0xE0 0xB8 0xB8	0xC5 0xB2	0xC3 0x98	0xC3 0x98	0xC5 0xB0
0xD9	0xC3 0x99	0xC5 0xAE	0xC3 0x99	0xC5 0xB2	0xD0 0xB9	0xD8 0xB9	0xCE 0xA9		0xC3 0x99	0xC5 0xB2	0xE0 0xB8 0xB9	0xC5 0x81	0xC3 0x99	0xC3 0x99	0xC3 0x99
0xDA	0xC3 0x9A	0xC3 0x9A	0xC3 0x9A	0xC3 0x9A	0xD0 0xBA	0xD8 0xBA	0xCE 0xAA		0xC3 0x9A	0xC3 0x9A	0xE0 0xB8 0xBA	0xC5 0x9A	0xC3 0x9A	0xC3 0x9A	0xC3 0x9A
0xDB	0xC3 0x9B	0xC5 0xB0	0xC3 0x9B	0xC3 0x9B	0xD0 0xBB		0xCE 0xAB		0xC3 0x9B	0xC3 0x9B		0xC5 0xAA	0xC3 0x9B	0xC3 0x9B	0xC3 0x9B
0xDC	0xC3 0x9C	0xC3 0x9C	0xC3 0x9C	0xC3 0x9C	0xD0 0xBC		0xCE 0xAC		0xC3 0x9C	0xC3 0x9C		0xC3 0x9C	0xC3 0x9C	0xC3 0x9C	0xC3 0x9C
0xDD	0xC3 0x9D	0xC3 0x9D	0xC5 0xAC	0xC5 0xA8	0xD0 0xBD		0xCE 0xAD		0xC4 0xB0	0xC3 0x9D		0xC5 0xBB	0xC3 0x9D	0xC3 0x9D	0xC4 0x98
0xDE	0xC3 0x9E	0xC5 0xA2	0xC5 0x9C	0xC5 0xAA	0xD0 0xBE		0xCE 0xAE		0xC5 0x9E	0xC3 0x9E		0xC5 0xBD	0xC5 0xB6	0xC3 0x9E	0xC8 0x9A
0xDF	0xC3 0x9F	0xC3 0x9F	0xC3 0x9F	0xC3 0x9F	0xD0 0xBF		0xCE 0xAF	0xE2 0x80 0x97	0xC3 0x9F	0xC3 0x9F	0xE0 0xB8 0xBF	0xC3 0x9F	0xC3 0x9F	0xC3 0x9F	0xC3 0x9F
0xE0	0xC3 0xA0	0xC5 0x95	0xC3 0xA0	0xC4 0x81	0xD1 0x80	0xD9 0x80	0xCE 0xB0	0xD7 0x90	0xC3 0xA0	0xC4 0x81	0xE0 0xB9 0x80	0xC4 0x85	0xC3 0xA0	0xC3 0xA0	0xC3 0xA0
0xE1	0xC3 0xA1	0xC3 0xA1	0xC3 0xA1	0xC3 0xA1	0xD1 0x81	0xD9 0x81	0xCE 0xB1	0xD7 0x91	0xC3 0xA1	0xC3 0xA1	0xE0 0xB9 0x81	0xC4 0xAF	0xC3 0xA1	0xC3 0xA1	0xC3 0xA1
